txId1,txId2
102558,102236
101805,103998
102380,100295
103306,103298
100514,100540
100605,103860
102491,100100
101629,101045
101897,103729
102924,101058
101924,102491
102076,103813
101087,103765
100597,101110
101954,102581
103281,102520
103626,101293
102041,103446
102309,102429
101559,102623
100848,101698
102207,100184
103199,100581
100766,103058
102324,100328
103236,100760
101064,100002
101589,100098
100026,102804
102435,101615
102905,101392
100852,102350
100523,102778
100704,103539
101637,103047
100660,102987
101518,103002
103478,100421
101983,101014
101123,103826
100504,100753
100577,101941
100990,103039
100515,103399
103710,103013
101603,102948
102036,103794
102678,100895
101422,102738
103694,103393
101593,102485
100455,100117
103343,101002
103205,103547
101876,103660
100614,102453
101941,101397
101891,103936
101023,100731
100631,102091
101162,101982
103246,102922
101055,101339
101718,103139
101422,103481
102369,100200
101735,103486
103344,100230
102580,101777
102606,102026
100885,100769
100606,103744
102967,103630
102380,103509
103186,103307
101715,103797
101836,103233
102497,101769
103118,100331
101691,103885
102326,103572
103531,102698
101475,101331
103600,102618
101677,100694
102142,102689
100150,101279
103329,102351
103675,100896
102999,101081
102057,102493
102463,101197
102344,100805
103027,101768
103599,100069
100188,101646
103043,103849
101394,103375
103324,100582
102158,101114
103970,103493
103535,100965
103073,101888
101855,103631
103277,101043
101273,102042
102199,103607
100285,103784
101191,102781
100019,100611
100496,101402
101295,100611
100759,101861
103043,103028
103170,101121
101217,102625
100704,102920
100488,101697
101013,101829
100329,102823
101524,102335
101252,102915
103584,103487
100253,102392
103261,102627
100050,101277
103074,100232
101783,102545
101227,102686
100575,100861
101571,102009
102650,103662
102837,102889
103710,101200
103821,100358
102089,103283
101505,103620
103913,102400
102398,100263
102475,100341
102421,102659
102269,103163
102828,102372
103889,102109
101185,103518
100540,102859
100326,102222
101190,102352
102658,101051
103653,100258
102682,103781
103271,100958
102145,100392
101691,103585
103027,101328
102995,100089
101622,101516
101759,100508
103716,102461
100446,102463
103330,101206
102118,101415
103982,101771
102746,101329
103135,102164
102022,100083
103824,101516
101880,103506
103966,100117
100757,101197
100545,101491
101070,100984
103988,101480
103210,101015
100394,100593
101941,101507
103359,102879
103843,103828
100058,100264
103546,101307
103963,102532
101280,103700
102061,100951
100752,102530
100995,101852
102707,101143
102806,100895
102285,102114
103460,101377
103714,101352
102644,103299
100103,103349
100800,102108
102819,102529
101550,102770
103433,103897
101230,100859
102966,101213
102605,100213
102252,102538
100408,102929
100278,100246
101339,100265
102416,101241
103428,100593
100454,100759
101664,100355
102577,100491
103944,101696
103996,100410
102609,101405
100840,101460
102675,101017
101393,101395
101693,101419
102396,102105
102069,101601
103506,102798
100823,100691
102990,101755
103527,102973
103354,100722
103204,101812
103185,100438
101207,102154
102566,101274
102069,102327
103288,102847
102055,101526
102831,100310
103334,103472
102672,100145
103131,100599
100336,101705
101901,103955
100362,102700
102525,102589
100971,103340
102197,102891
101652,102288
101957,102333
100437,101094
100208,101335
100262,102286
103757,100911
100743,101308
100970,103901
100301,101427
101768,101681
103052,103338
100710,103351
102637,103854
103240,102223
101669,101045
100893,103183
101622,103145
103456,101882
103738,100883
100873,101365
102761,102385
102396,103663
103664,100906
101050,103500
103496,102905
101714,102885
103478,103991
103173,100554
101906,102360
101141,100533
100745,101139
103809,102262
100368,102933
102996,102012
101085,102579
102158,101718
100883,100993
102958,103789
102706,103220
100728,102555
100087,100195
101961,101325
102597,102658
102276,101970
102991,102463
100454,101073
103770,100341
100399,102595
101613,102823
103041,100999
102329,101159
101124,100460
100718,102339
102068,102080
102812,100329
102882,101158
100034,102305
103177,100433
102988,102056
102661,100880
103326,101924
100081,102863
102977,100427
101265,101187
102961,103654
100204,102278
103510,103132
101268,100178
102286,101871
101113,101788
101185,102243
102817,103791
103080,101419
100005,103941
100149,100349
101186,101694
102709,101708
102742,103381
100584,100943
101795,102483
102463,103674
101461,103371
103683,102502
101059,103502
100356,102760
103947,101339
102191,103599
102158,101231
102632,102472
101895,102869
102404,100409
102039,103556
102544,100132
101075,102527
102267,102918
101713,102006
103588,100694
103628,101404
101727,102889
101065,100084
103246,103165
102626,100920
103447,101584
100592,100650
103442,100434
103041,103602
102702,100298
102768,101123
102644,100600
101678,101747
100353,100346
102030,101167
100534,102582
100927,100918
100963,101267
100393,102228
103799,101495
102301,100101
102386,103079
101559,102641
100746,102999
103642,102854
102244,102439
102049,103503
102751,103746
102620,103081
103465,102976
102029,103313
100350,103748
100368,103954
103650,102917
101609,102338
101455,101807
101457,103380
103683,100437
100938,102657
101231,101750
103799,102453
103588,101076
102763,101132
100724,102116
103704,103816
100595,100135
102986,100117
103185,101957
102742,101323
103581,103945
103531,100263
103744,102691
103438,100022
103372,101271
100976,103089
103129,100508
102740,100256
100144,101312
101156,101473
102831,103022
103866,102989
102323,100826
101327,101219
102323,100397
100101,100047
100692,100816
101337,102283
102197,101647
103874,102537
102398,103206
101613,103194
101285,101119
100420,100515
100331,100557
102290,102855
101200,100321
102488,101530
102068,102020
102440,101009
102049,101601
100030,102631
103012,102910
100397,101657
100928,100217
100410,102565
100912,101053
103755,103875
101211,103093
100107,102840
100019,102330
103042,100549
102251,102622
103974,101490
103621,100399
101161,103684
101244,102090
103889,102369
102548,103156
102910,101631
103578,102190
101001,102551
102943,101039
102879,102160
103167,100910
100722,102947
103354,100941
103181,102441
102542,103220
100539,102775
101184,102723
101851,102494
100848,100916
100493,103332
101016,101105
102701,103924
102036,101439
100946,102514
101257,103676
101656,102381
